HPO编码,标准名称（英文）,定义（英文）,标准名称（中文）,定义（中文）
HP:0000284,obsolete Abnormality of the ocular region,,,
HP:0000361,obsolete Pulsatile tinnitus (tympanic paraganglioma),,,
HP:0000368,"obsolete Low-set, posteriorly rotated ears",,,
HP:0000487,obsolete Congenital strabismus,,,
HP:0000489,obsolete Abnormality of globe location or size,,,
HP:0000535,obsolete Sparse and thin eyebrow,,,
HP:0000547,obsolete Tapetoretinal degeneration,,,
HP:0000611,obsolete Choroid coloboma,,,
HP:0000655,obsolete Vitreoretinal degeneration,,,
HP:0000720,obsolete Mood swings,,,
HP:0000735,obsolete Impaired social interactions,,,
HP:0000833,obsolete Glucose intolerance,,,
HP:0000923,obsolete Beaded ribs,,,
HP:0000976,obsolete Eczematoid dermatitis,,,
HP:0001002,obsolete Decreased subcutaneous fat,,,
HP:0001006,obsolete Hypotrichosis,,,
HP:0001011,obsolete Diaphoresis (with pheochromocytoma),,,
HP:0001113,obsolete Early cataracts,,,
HP:0001122,obsolete Aplasia/Hypoplasia of the choroid,,,
HP:0001145,obsolete Chorioretinopathy,,,
HP:0001146,obsolete Pigmentary retinal degeneration,,,
HP:0001150,obsolete Choroidal sclerosis,,,
HP:0001163,obsolete Abnormality of the metacarpal bones,,,
HP:0001180,obsolete Hand oligodactyly,,,
HP:0001226,obsolete Acral ulceration and osteomyelitis leading to autoamputation of digits,,,
HP:0001322,obsolete Brain very small,,,
HP:0001379,obsolete Degenerative joint disease,,,
HP:0001380,obsolete Ligamentous laxity,,,
HP:0001388,obsolete Joint laxity,,,
HP:0001400,obsolete Hepatic abscesses due to immunodeficiency,,,
HP:0001425,obsolete Heterogeneous,,,
HP:0001428,obsolete Somatic mutation,,,
HP:0001444,obsolete Autosomal dominant somatic cell mutation,,,
HP:0001452,obsolete Autosomal dominant contiguous gene syndrome,,,
HP:0001472,obsolete Familial predisposition,,,
HP:0001487,obsolete Hypopigmented fundi,,,
HP:0001575,obsolete Mood changes,,,
HP:0001587,obsolete Primary ovarian failure,,,
HP:0001606,obsolete Vocal cord paralysis (caused by tumor impingement),,,
HP:0001613,obsolete Hoarse voice (caused by tumor impingement),,,
HP:0001673,obsolete Tachycardia (with pheochromocytoma),,,
HP:0001675,obsolete Rhythm disturbances associated with pheochromocytoma,,,
HP:0001676,obsolete Palpitations (with pheochromocytoma),,,
HP:0001724,obsolete Aortic dilatation,,,
HP:0001726,obsolete Increased prevalence of valvular disease,,,
HP:0001862,obsolete Acral ulceration and osteomyelitis leading to autoamputation of the digits (feet),,,
HP:0002109,obsolete Abnormality of the bronchi,,,
HP:0002111,obsolete Restrictive deficit on pulmonary function testing,,,
HP:0002189,obsolete Excessive daytime sleepiness,,,
HP:0002229,obsolete Alopecia areata,,,
HP:0002271,obsolete Autonomic dysregulation,,,
HP:0002281,obsolete Gray matter heterotopias,,,
HP:0002355,obsolete Difficulty walking,,,
HP:0002357,obsolete Dysphasia,,,
HP:0002377,obsolete Paraganglioma-related cranial nerve palsy,,,
HP:0002459,obsolete Dysautonomia,,,
HP:0002564,obsolete Malformation of the heart and great vessels,,,
HP:0002622,obsolete Dissecting aortic dilatation,,,
HP:0002631,obsolete Dilatation of ascending aorta,,,
HP:0002648,obsolete Abnormality of calvarial morphology,,,
HP:0002695,"obsolete Symmetrical, oval parietal bone defects",,,
HP:0002744,obsolete Bilateral cleft lip and palate,,,
HP:0002755,obsolete Osteomyelitis due to immunodeficiency,,,
HP:0002773,obsolete Small vertebral bodies,,,
HP:0002845,obsolete Increased proportion of peripheral CD3+ T cells,,,
HP:0002880,obsolete Respiratory difficulties,,,
HP:0002924,obsolete Decreased circulating aldosterone level,,,
HP:0002997,obsolete Abnormality of the ulna,,,
HP:0003114,obsolete Abnormal cardiological findings,,,
HP:0003116,obsolete Abnormal echocardiogram,,,
HP:0003295,obsolete Impaired FSH and LH secretion,,,
HP:0003335,obsolete Low gonadotropins (secondary hypogonadism),,,
HP:0003340,obsolete Abnormal dermatological laboratory findings,,,
HP:0003421,obsolete Platyspondyly (childhood),,,
HP:0003464,obsolete Abnormal cholesterol homeostasis,,,
HP:0003490,obsolete Defective dehydrogenation of isovaleryl CoA and butyryl CoA,,,
HP:0003494,"obsolete Loss of heterozygosity, multiple chromosomes",,,
HP:0003553,obsolete Cellulitis due to immunodeficiency,,,
HP:0003683,obsolete Large beaked nose,,,
HP:0003741,obsolete Congenital muscular dystrophy,,,
HP:0003783,obsolete Externally rotated/abducted legs,,,
HP:0003975,obsolete Chevron-shaped/cone-shaped radius,,,
HP:0004038,obsolete Bony spicule of ulnar epiphyseal plate,,,
HP:0004066,obsolete Laterally deviated thumb phalanges,,,
HP:0004083,obsolete Laterally deviated terminal thumb phalanx,,,
HP:0004090,obsolete Advanced maturation/advanced ossification of terminal thumb phalanx epiphysis,,,
HP:0004110,obsolete Radially deviated index finger phalanges,,,
HP:0004121,obsolete Radially displaced proximal index finger phalanx,,,
HP:0004138,obsolete Metaphyseal abnormality of middle phalanx of the 2nd finger,,,
HP:0004139,obsolete Flared metaphysis of middle phalanx of index finger,,,
HP:0004143,obsolete Radially deviated terminal index finger phalanx,,,
