code,chinese_name,english_name
A00,霍亂,Cholera
A00.0,血清型01 cholerae霍亂弧菌所致之霍亂,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A00.1,血清型01 eltor霍亂弧菌所致之霍亂,"Cholera due to Vibrio cholerae 01, biovar eltor"
A00.9,霍亂,"Cholera, unspecified"
A01,傷寒及副傷寒,Typhoid and paratyphoid fevers
A01.0,傷寒,Typhoid fever
A01.00,傷寒,"Typhoid fever, unspecified"
A01.01,傷寒腦膜炎,Typhoid meningitis
A01.02,傷寒伴有侵及心臟,Typhoid fever with heart involvement
A01.03,傷寒肺炎,Typhoid pneumonia
A01.04,傷寒關節炎,Typhoid arthritis
A01.05,傷寒骨髓炎,Typhoid osteomyelitis
A01.09,傷寒熱伴有其他併發症,Typhoid fever with other complications
A01.1,A型副傷寒,Paratyphoid fever A
A01.2,B型副傷寒,Paratyphoid fever B
A01.3,C型副傷寒,Paratyphoid fever C
A01.4,副傷寒,"Paratyphoid fever, unspecified"
A02,其他沙門感染,Other salmonella infections
A02.0,沙門桿菌腸炎,Salmonella enteritis
A02.1,沙門桿菌敗血症,Salmonella sepsis
A02.2,局部沙門感染,Localized salmonella infections
A02.20,局部沙門桿菌感染,"Localized salmonella infection, unspecified"
A02.21,沙門桿菌腦膜炎,Salmonella meningitis
A02.22,沙門桿菌肺炎,Salmonella pneumonia
A02.23,沙門桿菌關節炎,Salmonella arthritis
A02.24,沙門桿菌骨髓炎,Salmonella osteomyelitis
A02.25,沙門桿菌腎盂腎炎,Salmonella pyelonephritis
A02.29,沙門桿菌伴有其他局部感染,Salmonella with other localized infection
A02.8,其他特定之沙門桿菌感染,Other specified salmonella infections
A02.9,沙門桿菌感染,"Salmonella infection, unspecified"
A03,志賀桿菌病,Shigellosis
A03.0,痢疾性志賀桿菌所致之志賀桿菌病,Shigellosis due to Shigella dysenteriae
A03.1,副痢疾桿菌所致之志賀桿菌病,Shigellosis due to Shigella flexneri
A03.2,痢疾桿菌所致之志賀桿菌病,Shigellosis due to Shigella boydii
A03.3,宋內氏桿菌所致之志賀桿菌病,Shigellosis due to Shigella sonnei
A03.8,其他志賀桿菌病,Other shigellosis
